pos_A,ratio_peak_speed,pos_D,formation_offensiveness,is_home_int,subbed_int,ratio_shots_top_third,jersey_number,minute_in,ratio_distance,cumul_mean_max_speed
0,4.289127837514934,0,19,0,0,0.0,5,1,0.5395705212218974,6.486
0,4.166666666666667,1,19,0,0,0.0,6,1,0.5107155997056659,6.334
0,4.205801104972376,0,19,0,1,0.0,8,1,0.3204511071379452,6.324
1,4.765525982256021,0,19,0,0,0.0,9,1,0.7999954898069638,6.856
1,1.9897172236503853,0,19,0,0,0.0,10,46,1.043955464091605,6.528
0,3.969325153374233,1,19,0,0,0.0,11,1,0.3003023028363119,6.455
1,1.0,0,19,0,0,0.0,18,61,1.0,6.804
1,4.116305587,0,19,0,0,0.0,19,1,0.8763312286014142,6.684
0,1.7775061124694376,0,19,0,0,0.0,20,46,0.976858345021038,6.554
0,1.0,1,16,1,0,1.0,2,1,1.0,6.874
0,1.0,1,16,1,0,1.0,3,1,1.0,7.0
0,1.0,0,16,1,0,0.0,8,1,1.0,6.631
1,1.0,0,16,1,1,0.0,9,1,1.0,6.625
0,1.0,0,16,1,1,0.0,10,1,1.0,6.467
0,1.0,1,16,1,1,0.0,14,1,1.0,6.839
0,1.0,1,16,1,0,0.0,15,1,1.0,6.815
0,1.0,0,16,1,1,0.0,16,1,1.0,6.508
0,1.0,0,16,1,1,0.0,17,1,1.0,7.151
0,1.0,1,16,1,0,0.0,18,1,1.0,7.245
0,1.0,1,19,0,0,0.0,4,1,1.0,6.632
0,1.0,0,19,0,1,0.0,6,1,1.0,6.674
1,1.0,0,19,0,1,0.0,7,1,1.0,6.605
1,1.0,0,19,0,0,0.0,9,1,1.0,6.728
0,1.0,0,19,0,1,0.0,10,1,1.0,6.725
0,1.0,1,19,0,0,0.0,15,1,1.0,5.737
0,1.0,1,19,0,0,0.0,16,1,1.0,6.7
0,1.0,0,19,0,1,0.0,17,1,1.0,6.624
0,1.0,1,19,0,0,0.0,18,1,1.0,6.764
1,1.0,0,19,0,1,0.0,20,1,1.0,6.987
0,2.0,1,16,1,0,0.0,2,1,0.8752933330975722,6.818
0,1.6635071090047393,1,16,1,0,0.0,3,1,1.3855862279917317,6.301
