ratio_peak_speed,formation_offensiveness,pos_A,pos_D,subbed_int,is_home_int,jersey_number,minute_in,ratio_distance,last15_sprints,cumul_hsr,last15_peak_speed,ratio_shots_top_third
2.0,19,1,0,1,1,21,1,0.8973475950464113,4,25,9.43,1.3333333333333333
1.974160206718346,17,0,1,0,0,2,1,1.120229750778816,2,11,7.64,0.0
2.0,17,0,1,0,0,3,1,1.1633911684894334,3,11,8.78,0.0
1.904205607476636,17,0,1,0,0,4,1,1.006358104874547,3,12,8.15,0.0
2.0,17,0,1,0,0,5,1,1.115664275051765,5,27,7.95,0.0
2.0,17,0,0,1,0,7,1,0.98420637,1,16,7.39,0.0
2.0,17,0,0,0,0,8,1,0.8201224216861273,1,16,8.27,0.0
1.739524348810872,17,1,0,1,0,9,1,0.7059247513334294,1,8,7.68,0.0
2.0,17,0,0,0,0,10,1,1.141269302562362,2,11,9.95,0.0
1.7345971563981044,17,0,0,1,0,19,1,0.9512881385738152,2,15,7.32,0.0
1.937244201909959,17,0,0,0,0,20,1,0.6650509569972658,0,10,7.1,0.0
2.36,19,0,1,0,1,2,1,1.0376540470419553,0,19,7.08,0.0
